time,wx,wy,wz
0.010340213775634766,0.0,0.0,0.0
0.011065006256103516,-0.01,-0.01,0.0
0.01168203353881836,-0.01,-0.01,-0.01
0.019379138946533203,0.0,-0.01,0.0
0.02905106544494629,0.0,0.0,0.0
0.039510250091552734,-0.01,0.0,0.0
0.04931306838989258,-0.01,0.0,0.0
0.05966997146606445,-0.01,-0.01,-0.01
0.07080793380737305,-0.01,-0.01,-0.01
0.07938623428344727,0.0,0.0,-0.01
0.09780120849609375,-0.01,0.0,-0.01
0.0987701416015625,0.0,0.0,-0.01
0.10909414291381836,-0.01,-0.01,-0.01
0.11901211738586426,-0.01,-0.01,-0.01
0.129241943359375,-0.01,0.0,0.0
0.1393890380859375,0.0,0.0,0.0
0.14917802810668945,0.0,0.0,0.0
0.15958595275878906,0.0,-0.01,-0.01
0.17127203941345215,0.0,-0.01,-0.01
0.17924118041992188,0.0,-0.01,0.0
0.19989490509033203,0.0,0.0,0.0
0.20072412490844727,-0.01,0.0,0.0
0.20857524871826172,-0.01,-0.01,-0.01
0.21863794326782227,-0.01,-0.01,-0.01
0.22877025604248047,-0.01,0.0,0.0
0.23901104927062988,-0.01,-0.01,-0.01
0.24868106842041016,0.0,-0.01,-0.01
0.2585880756378174,-0.01,-0.01,-0.01
0.27117919921875,-0.01,0.0,0.0
0.27912092208862305,-0.01,-0.01,-0.01
0.30077409744262695,-0.01,0.0,0.0
0.30173206329345703,0.0,-0.01,-0.01
0.30816006660461426,0.0,-0.01,-0.01
0.31845808029174805,0.0,0.0,-0.01
0.3286011219024658,0.0,-0.01,0.0
0.3387451171875,-0.01,0.0,0.0
0.349074125289917,0.0,0.0,0.0
0.3586721420288086,-0.01,0.0,0.0
0.3709712028503418,0.0,-0.01,-0.01
0.37860608100891113,0.0,0.0,-0.01
0.40000391006469727,-0.01,0.0,-0.01
0.4007601737976074,0.0,0.0,-0.01
0.40796518325805664,0.0,-0.01,0.0
0.4181852340698242,-0.01,-0.01,-0.01
0.428178071975708,0.0,0.0,0.0
0.43803906440734863,0.0,0.0,0.0
0.44860219955444336,0.0,-0.01,-0.01
0.45853424072265625,0.0,-0.01,0.0
0.4701871871948242,0.0,0.0,0.0
0.47879600524902344,0.0,-0.01,-0.01
0.5035429000854492,-0.01,-0.01,0.0
0.5045220851898193,0.0,0.0,-0.01
0.5074560642242432,0.0,0.0,-0.01
0.5175590515136719,0.0,0.0,-0.01
